"GRAD_DEBT_MDN_SUPP","TUITFTE","CONTROL","TUITIONFEE_IN","TUITIONFEE_OUT","AVGFACSAL","INEXPFTE","INSTNM","OPEID","CCSIZSET","CCUGPROF","ADM_RATE","RELAFFIL","RET_FT4","RET_FTL4","RET_PT4","RET_PTL4","NPT4_PUB","NPT4_PRIV","NPT4_PROG","NPT4_OTHER","NPT41_PUB","NPT42_PUB","NPT43_PUB","NPT44_PUB","NPT45_PUB","NPT41_PRIV","NPT42_PRIV","NPT43_PRIV","NPT44_PRIV","NPT45_PRIV","NPT41_PROG","NPT42_PROG","NPT43_PROG","NPT44_PROG","NPT45_PROG","NPT41_OTHER","NPT42_OTHER","NPT43_OTHER","NPT44_OTHER","NPT45_OTHER","NPT4_048_PUB","NPT4_048_PRIV","NPT4_048_PROG","NPT4_048_OTHER","NPT4_3075_PUB","NPT4_3075_PRIV","NPT4_75UP_PUB","NPT4_75UP_PRIV","NPT4_3075_PROG","NPT4_3075_OTHER","NPT4_75UP_PROG","NPT4_75UP_OTHER","PAR_ED_PCT_1STGEN","PAR_ED_PCT_MS","PAR_ED_PCT_HS","PAR_ED_PCT_PS","INC_PCT_LO"
"5100",1904,1,4200,7530,6099,4473,"Northeast Alabama Community College",103100,3,2,NA,NA,NA,0.6142,NA,0.4818,2544,NA,NA,NA,2219,3206,3474,2310,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2453,NA,NA,NA,3285,NA,2310,NA,NA,NA,NA,NA,"0.614738203","0.106658048","0.508080155","0.385261797","0.695484582"
"30500",11909,2,16234,16234,5307,7656,"Oakwood University",103300,11,9,0.3435,95,0.7876,NA,NA,NA,NA,26954,NA,NA,NA,NA,NA,NA,NA,25558,26623,27028,29881,28929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25847,NA,NA,NA,26856,NA,29375,NA,NA,NA,NA,"0.212009804","0.026960784","0.18504902","0.787990196","0.438325991"
NA,3125,1,4200,7530,5869,6731,"Alabama Southern Community College",103400,2,3,NA,NA,NA,0.5675,NA,0.5455,4998,NA,NA,NA,4737,5731,7265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4893,NA,NA,NA,6080,NA,NA,NA,NA,NA,NA,NA,"0.561521253","0.046979866","0.514541387","0.438478747","0.828460039"
"21739",10722,3,9685,9685,4710,5269,"Prince Institute-Southeast",2296000,1,4,NA,NA,NA,0.8333,NA,NA,NA,20904,NA,NA,NA,NA,NA,NA,NA,20413,19151,18926,24676,24576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19993,NA,NA,NA,19076,NA,24626,NA,NA,NA,NA,"0.374331551","0.021390374","0.352941177","0.625668449","0.615763547"
NA,1331,1,4260,7590,5875,5559,"Reid State Technical College",569200,2,3,NA,NA,NA,0.4881,NA,0.4,4912,NA,NA,NA,5081,5196,-400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5095,NA,NA,NA,3953,NA,NA,NA,NA,NA,NA,NA,"0.554858934","0.047021944","0.507836991","0.445141066","0.881136951"
"PrivacySuppressed",1692,1,4200,7530,6173,5734,"Bishop State Community College",103000,3,2,NA,NA,NA,0.4122,NA,0.2919,5145,NA,NA,NA,5100,5315,7271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5118,NA,NA,NA,5563,NA,NA,NA,NA,NA,NA,NA,"0.490552326","0.041424419","0.449127907","0.509447674","0.892681516"
"23236",17548,2,26328,26328,8261,14054,"Samford University",103600,14,10,0.7697,54,0.8673,NA,1,NA,NA,24093,NA,NA,NA,NA,NA,NA,NA,16298,18747,25057,26184,27452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17224,NA,NA,NA,22976,NA,26997,NA,NA,NA,NA,"0.145038168","0.005089059","0.139949109","0.854961832","0.238329238"
"PrivacySuppressed",4873,2,5840,5840,3232,3672,"Selma University",4067300,NA,NA,NA,54,0.4202,NA,0.1765,NA,NA,8427,NA,NA,NA,NA,NA,NA,NA,8389,8718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8427,NA,NA,NA,8718,NA,NA,NA,NA,NA,NA,"0.598445596","0.044041451","0.554404145","0.401554404","0.935483871"
"PrivacySuppressed",2285,1,3900,7230,4584,4407,"Shelton State Community College",569100,3,3,NA,NA,NA,0.5848,NA,0.3672,8587,NA,NA,NA,8186,9220,10861,11557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8395,NA,NA,NA,9682,NA,11557,NA,NA,NA,NA,NA,"0.51394268","0.03718048","0.4767622","0.48605732","PrivacySuppressed"
"4500",2092,1,4260,7590,4693,3589,"Snead State Community College",103800,2,2,NA,NA,NA,0.5945,NA,0.398,3884,NA,NA,NA,3788,3315,5114,6668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3766,NA,NA,NA,4142,NA,6668,NA,NA,NA,NA,NA,"0.558940397","0.078145695","0.480794702","0.441059603","0.651215376"
"25000",6914,1,6948,13596,7212,10325,"University of South Alabama",105700,15,8,0.8604,NA,0.6787,NA,0.3571,NA,13027,NA,NA,NA,10165,11227,15144,17047,17083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10460,NA,NA,NA,13176,NA,17061,NA,NA,NA,NA,NA,"0.362997658","0.019161167","0.343836491","0.637002342","0.477874396"
"27000",10653,2,30924,30924,6057,6999,"Spring Hill College",104100,11,10,0.4627,30,0.7559,NA,NA,NA,NA,18555,NA,NA,NA,NA,NA,NA,NA,14705,17885,17946,20409,22490,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15365,NA,NA,NA,17929,NA,21715,NA,NA,NA,NA,"0.276559865","0.011804385","0.264755481","0.723440135","PrivacySuppressed"
"30083",10496,2,11370,11370,4577,4314,"Southeastern Bible College",2270400,NA,NA,0.9615,NA,0.6429,NA,NA,NA,NA,12954,NA,NA,NA,NA,NA,NA,NA,10494,17627,15477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11513,NA,NA,NA,15907,NA,NA,NA,NA,NA,NA,"0.421052632","0.035087719","0.385964912","0.578947368","0.512"
"38359",10367,2,15901,15901,4743,4330,"Stillman College",104400,11,9,0.43,66,0.6123,NA,0.1111,NA,NA,17473,NA,NA,NA,NA,NA,NA,NA,17075,18857,15257,18007,17150,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17736,NA,NA,NA,17928,NA,17650,NA,NA,NA,NA,"0.403131116","0.017612525","0.385518591","0.596868885","0.706689537"
"32000",13302,2,11492,11492,5063,6876,"Talladega College",104600,8,9,NA,76,0.3285,NA,0.6667,NA,NA,9062,NA,NA,NA,NA,NA,NA,NA,9015,9154,8999,9154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9068,NA,NA,NA,9103,NA,9154,NA,NA,NA,NA,"0.474226804","0.036818851","0.437407953","0.525773196","0.766509434"
"PrivacySuppressed",2371,1,3288,5952,6058,8051,"H Councill Trenholm State Technical College",573400,2,3,NA,NA,NA,0.4979,NA,0.4045,6067,NA,NA,NA,6002,6012,7346,5655,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6003,NA,NA,NA,6399,NA,5655,NA,NA,NA,NA,NA,"0.487450462","0.048877147","0.438573316","0.512549538","0.842049093"
